LINK_ID,terrain_shadow_ratio,terrain_shadow_max,building_shadow_ratio,building_shadow_mean_hours,building_shadow_max_hours,building_shadow_peak_ratio,combined_shadow_ratio,terrain_shadow_percent,building_shadow_percent,combined_shadow_percent
1830492202,0.0,0.0,0.0980392156862745,0.8333333333333334,1.0,1.0,0.0980392156862745,0.0,9.8,9.8
1830492301,0.0,0.0,0.3411764705882353,2.9,7.5,0.8,0.3411764705882353,0.0,34.1,34.1
1830492401,0.0,0.0,0.1294117647058823,1.1,2.5,0.8,0.12941176470588234,0.0,12.9,12.9
1830492402,0.0,0.0,0.2549019607843137,2.1666666666666665,2.5,1.0,0.2549019607843137,0.0,25.5,25.5
1840000101,0.2245989319953051,0.2352941185235977,0.0020283975659229,0.0172413793103448,0.5,0.0344827586206896,0.2261717536342598,22.5,0.2,22.6
1840000104,0.1764705926179886,0.1764705926179886,0.0,0.0,0.0,0.0,0.1764705926179886,17.6,0.0,17.6
1840000201,0.2647058859467506,0.3529411852359772,0.0021008403361344,0.0178571428571428,0.5,0.0357142857142857,0.26625062148047596,26.5,0.2,26.6
1840000702,0.1372549037138621,0.1764705926179886,0.0051150895140664,0.0434782608695652,0.5,0.0869565217391304,0.14166792210918744,13.7,0.5,14.2
1840000802,0.1503267991873953,0.2352941185235977,0.0051150895140664,0.0434782608695652,0.5,0.0869565217391304,0.1546729536672551,15.0,0.5,15.5
1840000803,0.2352941185235977,0.2352941185235977,0.0,0.0,0.0,0.0,0.23529411852359772,23.5,0.0,23.5
1840001500,0.0588235296308994,0.0588235296308994,0.0210084033613445,0.1785714285714285,1.0,0.2142857142857142,0.07859614455461994,5.9,2.1,7.9
1840001501,0.0588235296308994,0.0588235296308994,0.0,0.0,0.0,0.0,0.05882352963089943,5.9,0.0,5.9
1840001600,0.0588235296308994,0.0588235296308994,0.0168067226890756,0.1428571428571428,1.0,0.1428571428571428,0.07464162156987586,5.9,1.7,7.5
1840001701,0.0915032683147324,0.1176470592617988,0.3785166240409207,3.217391304347826,7.0,0.6521739130434783,0.43538438414445,9.2,37.9,43.5
1840001702,0.2000000048428774,0.3529411852359772,0.2601809954751131,2.2115384615384617,8.5,1.0,0.40814479996294317,20.0,26.0,40.8
1840001703,0.2566844956441359,0.4117647111415863,0.0803921568627451,0.6833333333333333,1.5,0.7666666666666667,0.31644123226882304,25.7,8.0,31.6
1840001704,0.3529411852359772,0.4117647111415863,0.0784313725490196,0.6666666666666666,1.0,1.0,0.40369089619786125,35.3,7.8,40.4
1840001705,0.2352941185235977,0.2352941185235977,0.0588235294117647,0.5,1.0,0.3333333333333333,0.28027681743397437,23.5,5.9,28.0
1840001706,0.0882352944463491,0.1176470592617988,0.4117647058823529,3.5,5.0,1.0,0.46366782026255826,8.8,41.2,46.4
1840001801,0.0718954251044326,0.1176470592617988,0.1457800511508951,1.2391304347826086,3.0,0.5217391304347826,0.20719455750608817,7.2,14.6,20.7
1840001802,0.1764705907553434,0.3529411852359772,0.1809954751131221,1.5384615384615383,4.0,1.0,0.3255256874512088,17.6,18.1,32.6
1840001803,0.240641715851697,0.3529411852359772,0.1254901960784313,1.0666666666666669,2.0,0.7,0.3359337358232487,24.1,12.5,33.6
1840001804,0.0588235296308994,0.0588235296308994,0.0,0.0,0.0,0.0,0.05882352963089943,5.9,0.0,5.9
1840001805,0.294117659330368,0.294117659330368,0.0980392156862745,0.8333333333333334,1.0,1.0,0.3633218103764104,29.4,9.8,36.3
1840001806,0.0588235296308994,0.0588235296308994,0.1176470588235294,1.0,2.0,1.0,0.16955017320373478,5.9,11.8,17.0
1840001900,0.0588235296308994,0.0588235296308994,0.3333333333333333,2.833333333333333,3.5,0.8333333333333334,0.37254901975393284,5.9,33.3,37.3
1840001901,0.0588235296308994,0.0588235296308994,0.3445378151260504,2.9285714285714284,6.0,0.6428571428571429,0.3830944143799173,5.9,34.5,38.3
1840001902,0.1470588259398937,0.1764705926179886,0.2549019607843137,2.1666666666666665,3.5,1.0,0.36447520364148944,14.7,25.5,36.4
1840001903,0.0588235296308994,0.0588235296308994,0.2156862745098039,1.8333333333333333,2.0,1.0,0.2618223761810976,5.9,21.6,26.2
1840001904,0.0588235296308994,0.0588235296308994,0.5378151260504201,4.571428571428571,5.5,1.0,0.5650024716781468,5.9,53.8,56.5
1840001905,0.0588235296308994,0.0588235296308994,0.5392156862745098,4.583333333333333,6.0,1.0,0.5663206460063948,5.9,53.9,56.6
1840001906,0.0588235296308994,0.0588235296308994,0.3137254901960784,2.6666666666666665,4.0,1.0,0.35409457915846043,5.9,31.4,35.4
1840001907,0.1176470601931214,0.1764705926179886,0.3856209150326797,3.2777777777777777,5.0,0.8888888888888888,0.4579008082232249,11.8,38.6,45.8
1840001908,0.0588235296308994,0.0588235296308994,0.3109243697478991,2.642857142857143,4.5,0.8571428571428571,0.35145823050196434,5.9,31.1,35.1
1840002000,0.0588235296308994,0.0588235296308994,0.2875816993464052,2.4444444444444446,4.0,0.8888888888888888,0.3294886583644969,5.9,28.8,32.9
1840002001,0.0756302523825849,0.1176470592617988,0.3219814241486068,2.736842105263158,4.5,0.8421052631578947,0.3732601401603284,7.6,32.2,37.3
1840002002,0.0588235296308994,0.0588235296308994,0.4411764705882353,3.75,4.0,1.0,0.47404844302903204,5.9,44.1,47.4
1840002003,0.0588235296308994,0.0588235296308994,0.196078431372549,1.6666666666666667,2.0,1.0,0.24336793558562497,5.9,19.6,24.3
1840002005,0.0588235296308994,0.0588235296308994,0.2394957983193277,2.0357142857142856,3.5,0.8571428571428571,0.2842313397613143,5.9,23.9,28.4
1840002006,0.0588235296308994,0.0588235296308994,0.253393665158371,2.1538461538461537,4.0,0.6923076923076923,0.29731168501854477,5.9,25.3,29.7
1840002101,0.0823529414832592,0.1176470592617988,0.2566844919786096,2.1818181818181817,3.0,0.7272727272727273,0.3178987105142942,8.2,25.7,31.8
1840002102,0.0,0.0,0.5294117647058824,4.5,5.0,1.0,0.5294117647058824,0.0,52.9,52.9
1840002103,0.0117647059261798,0.0588235296308994,0.46524064171123,3.954545454545455,5.0,0.9090909090909092,0.47153192830277,1.2,46.5,47.2
1840002104,0.0588235296308994,0.0588235296308994,0.3319327731092437,2.821428571428572,4.5,0.7857142857142857,0.37123084542568485,5.9,33.2,37.1
1840002201,0.0,0.0,0.4852941176470588,4.125,5.0,1.0,0.4852941176470589,0.0,48.5,48.5
1840002202,0.1176470592617988,0.1176470592617988,0.2745098039215686,2.333333333333333,2.5,1.0,0.3598615920134618,11.8,27.5,36.0
1840002203,0.0588235296308994,0.0588235296308994,0.3445378151260504,2.9285714285714284,4.5,0.8571428571428571,0.3830944143799173,5.9,34.5,38.3
1840002204,0.094117647409439,0.1176470592617988,0.2727272727272727,2.3181818181818183,3.5,0.8181818181818182,0.34117647084322833,9.4,27.3,34.1
1840002205,0.0392156864205996,0.0588235296308994,0.5176470588235295,4.4,5.5,1.0,0.5365628605087598,3.9,51.8,53.7
1840002206,0.0588235296308994,0.0588235296308994,0.2867647058823529,2.4375,3.0,1.0,0.3287197233396856,5.9,28.7,32.9
1840002500,0.0117647059261798,0.0588235296308994,0.3574660633484163,3.0384615384615383,4.0,0.7692307692307693,0.36502528616071295,1.2,35.7,36.5
1840002501,0.0,0.0,0.4235294117647059,3.6,4.0,1.0,0.42352941176470593,0.0,42.4,42.4
1840002502,0.0,0.0,0.4117647058823529,3.5,5.0,1.0,0.4117647058823529,0.0,41.2,41.2
1840002600,0.0,0.0,0.4588235294117647,3.9,4.5,1.0,0.45882352941176463,0.0,45.9,45.9
1840002601,0.0,0.0,0.5098039215686274,4.333333333333333,5.0,1.0,0.5098039215686274,0.0,51.0,51.0
1840002602,0.0,0.0,0.4191176470588235,3.5625,4.5,1.0,0.4191176470588235,0.0,41.9,41.9
1840002603,0.0,0.0,0.3529411764705882,3.0,4.0,0.8571428571428571,0.3529411764705882,0.0,35.3,35.3
1840002701,0.0065359477367666,0.0588235296308994,0.4296675191815857,3.652173913043478,5.5,0.6956521739130435,0.4333951824687954,0.7,43.0,43.3
1840002801,0.0196078432102998,0.0588235296308994,0.3810741687979539,3.239130434782609,5.0,0.8695652173913043,0.3932099694549682,2.0,38.1,39.3
1840003100,0.0117647059261798,0.0588235296308994,0.3039215686274509,2.583333333333333,4.0,0.75,0.31211072667410544,1.2,30.4,31.2
1840003101,0.0196078432102998,0.0588235296308994,0.3529411764705882,3.0,3.5,1.0,0.36562860443019396,2.0,35.3,36.6
1840003102,0.0588235296308994,0.0588235296308994,0.4313725490196078,3.6666666666666665,4.0,1.0,0.4648212227312958,5.9,43.1,46.5
1840003200,0.0196078432102998,0.0588235296308994,0.4313725490196078,3.6666666666666665,4.5,1.0,0.4425221069235039,2.0,43.1,44.3
1840003201,0.0,0.0,0.392156862745098,3.333333333333333,4.5,1.0,0.392156862745098,0.0,39.2,39.2
1840003202,0.0588235296308994,0.0588235296308994,0.6078431372549019,5.166666666666667,5.5,1.0,0.6309111880905487,5.9,60.8,63.1
1840003203,0.0294117648154497,0.0588235296308994,0.4264705882352941,3.625,5.5,1.0,0.44333910040886093,2.9,42.6,44.3
1840003204,0.0,0.0,0.4058823529411764,3.45,4.5,0.9,0.40588235294117636,0.0,40.6,40.6
1840003300,0.0196078432102998,0.0588235296308994,0.2184873949579832,1.8571428571428568,4.0,0.7142857142857143,0.23381117158452003,2.0,21.8,23.4
1840003301,0.0294117648154497,0.0588235296308994,0.2941176470588235,2.5,3.0,1.0,0.31487889281090564,2.9,29.4,31.5
1840003302,0.0,0.0,0.5051903114186851,4.294117647058823,6.5,0.8823529411764706,0.5051903114186851,0.0,50.5,50.5
1840003303,0.0588235296308994,0.0588235296308994,0.4570135746606334,3.8846153846153846,6.0,0.9230769230769232,0.4889539527407598,5.9,45.7,48.9
1840003304,0.0588235296308994,0.0588235296308994,0.3431372549019608,2.9166666666666665,4.0,0.8333333333333334,0.3817762400516692,5.9,34.3,38.2
1840003305,0.0588235296308994,0.0588235296308994,0.4705882352941176,4.0,5.5,1.0,0.5017301039222408,5.9,47.1,50.2
1840003306,0.0588235296308994,0.0588235296308994,0.5882352941176471,5.0,6.0,1.0,0.6124567474950763,5.9,58.8,61.2
