LINK_ID,ROAD_NAME,교량명
1840194201,계룡로,계룡육교 램프B
1850006801,계백로,유등교
1850209500,동서대로,도안대교
1850204700,동서대로,도안호수교
1830128800,동부로,용윤교
1870500702,대전로1331번길,한샘대교
1860067600,한밭대로492번길,유성대교
1840024902,산성로,문화육교
1870359001,구즉세종로,문평대교
1850153400,갑천도시고속도로,대화대교
1840126609,운남로,구완1교
1840126609,운남로,무수4교
1860496600,대덕대로,화암육교
1850052301,유등로,유등천좌안2교
1830475200,대전천동로,인창교
1850156603,하상도로,한샘대교
1840038000,인창로,인창교
1830026810,대청호수로,비룡교
1830056304,하상도로,보문교
1860113000,북유성대로,침신교
1860208700,도안대로,용계교
1870205400,경부고속도로,
1850206600,원도안로,용소1교
1870150402,천변도시고속도로,신대교
1840166800,대전남부순환고속도로,무수4교
1830056502,하상도로,목척교
1870362402,구즉세종로,
1840005102,계백로,서대전육교
1860004605,현충원로,덕명교
1840043700,대전천서로,중교
1870302000,-,현도교
1870501500,천변도시고속화도로,한빛대교
1860113001,북유성대로,침신교
1830057709,이사로,대별2교
1830057709,이사로,대별1교
1860306900,북유성대로400번길,
1850098400,둔산남로,삼천교
1830031002,대전로,제1삼성교
1860068100,-,갑천대교
1850333801,구봉산북로94번길,관저1교
1850333801,구봉산북로94번길,서대전IC교
1850320500,관저중로64번길,
1870057501,산업단지로,상서육교
1870500401,갑천도시고속도로,원촌육교
1830183800,통영대전고속도로,구도1교
1870199800,경부고속도로,와동육교(하)
1870199800,경부고속도로,와동육교(상)
1870491400,대전천북로,한밭대교
1840061302,대전천북로,현암교
1860605001,갑천도시고속도로,카이스트교
1860115800,가정로,신성교
1830186200,통영대전고속도로,판암IC교
1830475601,대전천동로,인창교
1860639900,테크노중앙로,미래북교
1840010400,대둔산로,안영고가교
1870198200,경부고속도로,신탄진IC교
1830006000,통영대전고속도로,판암철교
1860154100,불무로,불무교
1860114200,가정로,신성교
1860076000,대학로,어은교
1860094400,대학로,매봉교
1830057802,이사로,
1850021801,유등로,사정교
1860011004,호남고속도로지선,철도
1860011004,호남고속도로지선,호남고속도로지선
1840185101,유등천동로,수침교
1870004001,신탄진로,회덕과선교
1870493901,천변도시고속도로,대화대교
1870493901,천변도시고속도로,둔산대교
1860225400,도안동로,용반교
1840015902,대전천서로,석교
1870198000,경부고속도로,석봉육교
1860108901,은구비로,죽전교
1860147601,-,신일고가교
1840005202,계백로,서대전육교
1870195500,경부고속도로,상서1교
1860071600,문화원로,장대2교
1840014701,대종로,옥계교
1840018401,신기로,석교
1860194000,지족동로,지족3교
1870205300,경부고속도로,
1870015600,대전로,
1860011800,호남고속도로지선,화암1교
1830008201,옥천로,제1치수교
1830128000,동부로,용윤교
1860155900,배울2로,배을교
1870499101,한남로67번길,한남육교(한남대방향)
1870499101,한남로67번길,한남육교(오거리방향)
1870150403,천변도시고속도로,신대교
1870150403,천변도시고속도로,호남고속도로지선
1830056203,하상도로,보문교
1830056203,하상도로,인창교
1830003507,대전로,낭월다리
1850035401,유등로,버드내다리
1830020402,동대전로,
1850335101,-,한샘대교
1870066600,신탄진로,신탄진과선교
1870493900,천변도시고속도로,대화대교
1860072001,한밭대로,유성대교
1860012701,대덕대로,덕진교
1870204800,경부고속도로,비래골길
1830030400,태전로,북부교
1870055201,천변도시고속도로,당산교
1840005501,충무로,보문교
1830186000,통영대전고속도로,판암IC교
1860070300,문화원로,유성2교
1840000803,대둔산로,안영고가교
1870500201,갑천도시고속도로,원촌육교
1860198001,학하복용서로,화산제2교
1840061900,대종로,중촌고가교
1870057400,산업단지로,상서2교
1870057400,산업단지로,상서1교
1870057400,산업단지로,
1830056104,하상도로,보문교
1830056104,하상도로,인창교
1870056608,덕암로,상서육교
1830010402,계족로,가양교
1860108100,은구비로,죽전교
1840005601,충무로,보문교
1860107301,은구비로,죽전교
1850156700,하상도로,한샘대교
1850305802,유등로,도마교
1860126900,자운로,탄동교
1840196602,대둔산로,안영고가교
1850320201,관저중로64번길,
1860214301,노은로,하기2교
1840007401,계룡로,수침교
1850207900,월드컵대로,계룡대교
1850324100,구봉로,정림대교
1830186100,통영대전고속도로,판암IC교
1860597500,계백로801번길,서대전JCT2교
1860597500,계백로801번길,서대전JCT1교
1840049401,중앙로,목척교
1860194200,지족동로,지족3교
1840005209,계백로,서대전육교
1830178900,대전남부순환고속도로,이사1교
1850044700,도산로,도마교
1840047802,오류로,계룡육교
1860205003,동서대로,진잠교
1830181900,통영대전고속도로,대별4교
1870153800,장동로278번길,정안교
1870496502,문평서로17번길,문평대교
1860353200,엑스포로,전민육교
1830030100,태전로,북부교
1830474600,대종로,옥계교
1840010500,방아미로,무수1교
1840010500,방아미로,침산교
1860649001,금남구즉로,봉산교
1860649001,금남구즉로,봉산북교
1830051902,대전천동로,중교
1830051902,대전천동로,은행교
1850324903,유등로,유등천좌안1교
1840032000,계백로,서대전육교
1840007302,계룡로,수침교
1870494801,천변도시고속도로,원촌육교
1860414500,신성로,신성1교
1850060501,용문로,유등천좌안1교
1850311500,갑천도시고속도로,카이스트교
1860214300,노은로,하기2교
1870496201,대덕대로1277번길,문평대교
1840005105,계백로,서대전육교
1860011005,호남고속도로지선,전민육교
1860112802,유성대로,신성육교
1860198500,북유성대로,유성교
1860012801,대덕대로,덕진교
1830032500,우암로,성남교
1830024600,동대전로,대동교
1840162600,대전남부순환고속도로,안영I.C램프2교
1870012302,한남로150번길,
1840043500,대흥로,대흥교
1860225700,도안동로,용반교
1850067806,갈마로,괴정육교
1850012701,대덕대로,대덕대교
1870160200,신상로,대전육교
1870013800,옛신탄진로,오정육교
1860007408,호남고속도로지선,자운육교
1850337300,혜천로,불티구름다리
1870494400,천변도시고속도로,원촌육교
1850336100,배재로,불티구름다리
1830183500,통영대전고속도로,대별3교
1840052701,선화로,선화교
1830029800,태전로,북부교
1840022400,천근로69번길,문화육교
1860002500,계룡로,만년교
1870203404,경부고속도로,신대과도교
1850237600,대전남부순환고속도로,모세골교
1840014805,대종로,옥계교
1840172400,대전남부순환고속도로,구완2교
1860353300,엑스포로,전민육교
1870057000,산업단지로,상서육교
1860164900,갑천로,관평교
1860218401,노은로,신성육교
1860108700,은구비로156번길,죽전교
